,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
3059,3059,Kepler-382,b,Kepler-382 b,2,5.262155,0.055,,,,5600.0,,0.94,0,,1.32,0.1345,,,,,,1,0,960.89,14.623,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-382_b/
3060,3060,Kepler-382,c,Kepler-382 c,2,12.162701,0.09699999999999999,,,,5600.0,,0.94,0,,1.59,0.0816,,,,,,1,0,960.89,14.623,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-382_c/
3061,3061,Kepler-1058,b,Kepler-1058 b,1,110.96546000000001,,,,,4644.0,0.73,0.69,0,,2.72,0.53504,,,,3.39,,1,0,525.0,15.498,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/Kepler-1058_b/
3062,3062,Kepler-733,b,Kepler-733 b,1,20.83424726,,,,,5418.0,0.9,0.86,0,,2.82,0.169783,,,,4.27,,1,0,980.0,15.412,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-733_b/
3063,3063,Kepler-1216,b,Kepler-1216 b,1,4.37034536,,,,,5743.0,0.99,0.98,0,,1.39,0.11746,,,,4.07,,1,0,1124.0,15.133,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1216_b/
3064,3064,Kepler-1618,b,Kepler-1618 b,1,6.10826019,,,,,6620.0,1.41,1.65,0,,1.26,0.15204,,,,1.78,,1,0,1238.0,13.606,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1618_b/
3065,3065,Kepler-837,b,Kepler-837 b,1,16.56059504,,,,,5403.0,0.85,0.81,0,,2.56,0.094212,,,,3.98,,1,0,846.0,15.198,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-837_b/
3066,3066,Kepler-732,b,Kepler-732 b,2,9.46781405,,,,,3631.0,0.49,0.46,0,,2.18,0.10182100000000001,,,,4.47,,1,0,150.0,15.073,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-732_b/
3067,3067,Kepler-732,c,Kepler-732 c,2,0.89304124,,,,,3631.0,0.49,0.46,0,,1.27,0.046008,,,,4.47,,1,0,150.0,15.073,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-732_c/
3068,3068,Kepler-1096,b,Kepler-1096 b,1,2.89221751,,,,,4306.0,0.66,0.63,0,,1.24,0.056903999999999996,,,,3.8,,1,0,344.0,15.068,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/Kepler-1096_b/
3069,3069,Kepler-345,c,Kepler-345 c,2,9.387427,0.077,,,,4504.0,,0.62,0,,1.2,0.0648,,,,,,1,0,362.46,14.027999999999999,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-345_c/
3070,3070,Kepler-345,b,Kepler-345 b,2,7.415563000000001,0.066,,,,4504.0,,0.62,0,,0.74,0.0821,,,,,,1,0,362.46,14.027999999999999,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-345_b/
3071,3071,Kepler-504,b,Kepler-504 b,1,9.54927542,,,,,3519.0,0.33,0.33,0,,1.59,0.07384199999999999,,,,4.17,,1,0,75.0,14.485999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-504_b/
3072,3072,Kepler-916,b,Kepler-916 b,1,32.2968798,,,,,5248.0,0.85,0.81,0,,1.76,0.19237,,,,4.79,,1,0,769.0,15.2,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-916_b/
3073,3073,Kepler-838,b,Kepler-838 b,1,15.74957994,,,,,5770.0,0.98,0.96,0,,2.73,0.19559200000000002,,,,4.17,,1,0,1210.0,15.3,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-838_b/
3074,3074,Kepler-255,c,Kepler-255 c,3,9.946047,0.092,,,,5573.0,,0.93,0,,2.99,0.1408,,,,,,1,0,1084.5,15.595999999999998,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-255_c/
3075,3075,Kepler-255,d,Kepler-255 d,3,1.04562266,,,,,5573.0,,0.93,0,,1.32,0.07612100000000001,,,,,,1,0,1084.5,15.595999999999998,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-255_d/
3076,3076,Kepler-255,b,Kepler-255 b,3,5.714606,0.063,,,,5573.0,,0.93,0,,1.55,0.0932,,,,,,1,0,1084.5,15.595999999999998,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-255_b/
3077,3077,Kepler-1250,b,Kepler-1250 b,1,2.60754383,,,,,5717.0,0.99,0.98,0,,1.92,0.061025,,,,4.57,,1,0,1371.0,15.618,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1250_b/
3078,3078,Kepler-41,b,Kepler-41 b,1,1.8555582,0.031010000000000003,0.0,0.56,0.33,5750.0,1.15,1.29,0,1790.0,14.46,0.1014,5.159,,0.754,4.4,,1,0,1128.11,14.465,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-41__b/
3079,3079,Kepler-1016,b,Kepler-1016 b,2,1.95452434,,,,,5821.0,0.99,1.0,0,,2.18,0.08732999999999999,,,,3.89,,1,0,1239.0,15.356,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1016_b/
3080,3080,Kepler-1016,c,Kepler-1016 c,2,105.65513689999999,,,,,5821.0,0.99,1.0,0,,3.68,0.38511999999999996,,,,3.89,,1,0,1239.0,15.356,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1016_c/
3081,3081,Kepler-1108,b,Kepler-1108 b,1,4.51005748,,,,,5406.0,0.88,0.84,0,,1.46,0.090021,,,,4.17,,1,0,764.0,14.979000000000001,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1108_b/
